people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,total_vaccinations,Johnson&Johnson,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,CanSino,Sputnik V,Sinopharm/Beijing,month,day
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,1,2,22
1367.0,629.414373478207,1367.0,0.0035144353985952946,0.0035144353985952946,0.001618168364693848,35.0,1367.0,1,0,1,1,0,0,0,1,2,23
2734.0,1258.828746956414,1367.0,0.007028870797190589,0.007028870797190589,0.003236336729387696,35.0,2734.0,1,0,1,1,0,0,0,1,2,24
4101.0,1888.2431204346212,1367.0,0.010543306195785883,0.010543306195785883,0.004854505094081544,35.0,4101.0,1,0,1,1,0,0,0,1,2,25
5468.0,2517.657493912828,1367.0,0.014057741594381178,0.014057741594381178,0.006472673458775392,35.0,5468.0,1,0,1,1,0,0,0,1,2,26
6835.0,3147.0718673910355,1367.0,0.017572176992976474,0.017572176992976474,0.00809084182346924,35.0,6835.0,1,0,1,1,0,0,0,1,2,27
8200.0,3775.5653712664944,1367.0,0.02,0.02,0.009706642714330324,35.0,8200.0,1,0,1,1,0,0,0,1,2,28
9780.0,4503.052357437356,1580.0,0.025143510020674456,0.025143510020674456,0.011576947042213485,41.0,9780.0,1,0,1,1,0,0,0,1,3,1
11574.0,5329.072391102245,1794.0,0.02975572443550983,0.02975572443550983,0.01370057107020234,46.0,11574.0,1,0,1,1,0,0,0,1,3,2
13582.0,6253.625472261162,2008.0,0.034918113813987774,0.034918113813987774,0.016077514798296885,52.0,13582.0,1,0,1,1,0,0,0,1,3,3
15803.0,7276.251166112734,2221.0,0.04062810724506323,0.04062810724506323,0.018706594489580747,57.0,15803.0,1,0,1,1,0,0,0,1,3,4
18238.0,8397.409907458332,2435.0,0.046888275639781256,0.046888275639781256,0.021588993880970297,63.0,18238.0,1,0,1,1,0,0,0,1,3,5
20887.0,9617.10169629796,2649.0,0.05369861899814186,0.05369861899814186,0.024724712972465545,68.0,20887.0,1,0,1,1,0,0,0,1,3,6
23749.0,10934.866097830241,2862.0,0.06105656640909996,0.06105656640909996,0.028112568027150106,74.0,23749.0,1,0,1,1,0,0,0,1,3,7
26611.0,12252.630499362524,2862.0,0.06841451382005807,0.06841451382005807,0.03150042308183467,74.0,26611.0,1,0,1,1,0,0,0,1,3,8
29473.0,13570.394900894804,2862.0,0.07577246123101618,0.07577246123101618,0.03488827813651922,74.0,29473.0,1,0,1,1,0,0,0,1,3,9
32335.0,14888.159302427086,2862.0,0.08313040864197428,0.08313040864197428,0.038276133191203786,74.0,32335.0,1,0,1,1,0,0,0,1,3,10
35197.0,16205.923703959366,2862.0,0.09048835605293239,0.09048835605293239,0.04166398824588834,74.0,35197.0,1,0,1,1,0,0,0,1,3,11
38059.0,17523.68810549165,2862.0,0.09784630346389049,0.09784630346389049,0.04505184330057291,74.0,38059.0,1,0,1,1,0,0,0,1,3,12
40921.0,18841.45250702393,2862.0,0.10520425087484861,0.10520425087484861,0.04843969835525746,74.0,40921.0,1,0,1,1,0,0,0,1,3,13
43783.0,20159.216908556213,2862.0,0.11256219828580671,0.11256219828580671,0.05182755340994203,74.0,43783.0,1,0,1,1,0,0,0,1,3,14
46645.0,21476.981310088493,2862.0,0.11992014569676482,0.11992014569676482,0.05521540846462659,74.0,46645.0,1,0,1,1,0,0,0,1,3,15
54000.0,24863.47927419399,2862.0,0.14,0.14,0.06392179348461434,74.0,54000.0,1,0,1,1,0,0,0,1,3,16
56882.0,26190.45237175375,2882.0,0.1462385620650311,0.1462385620650311,0.06733332327762652,74.0,56882.0,1,0,1,1,0,0,0,1,3,17
59784.0,27526.63416534099,2902.0,0.15369934591779158,0.15369934591779158,0.07076852780896636,75.0,59784.0,1,0,1,1,0,0,0,1,3,18
62705.0,28871.564220154334,2921.0,0.16120897708040816,0.16120897708040816,0.07422622334171743,75.0,62705.0,1,0,1,1,0,0,0,1,3,19
65646.0,30225.70297099516,2941.0,0.1687700264639259,0.1687700264639259,0.07770759361279615,76.0,65646.0,1,0,1,1,0,0,0,1,3,20
68607.0,31589.050417863462,2961.0,0.1763824940683448,0.1763824940683448,0.0812126386222025,76.0,68607.0,1,0,1,1,0,0,0,1,3,21
71587.0,32961.14612595787,2980.0,0.18404380898261985,0.18404380898261985,0.08474017463302012,77.0,71587.0,1,0,1,1,0,0,0,1,3,22
74587.0,34342.45053007976,3000.0,0.19175654211779608,0.19175654211779608,0.08829138538216535,77.0,74587.0,1,0,1,1,0,0,0,1,3,23
77587.0,35723.75493420165,3000.0,0.19946927525297228,0.19946927525297228,0.0918425961313106,77.0,77587.0,1,0,1,1,0,0,0,1,3,24
80587.0,37105.05933832354,3000.0,0.2071820083881485,0.2071820083881485,0.09539380688045584,77.0,80587.0,1,0,1,1,0,0,0,1,3,25
83587.0,38486.36374244543,3000.0,0.21489474152332472,0.21489474152332472,0.09894501762960109,77.0,83587.0,1,0,1,1,0,0,0,1,3,26
86587.0,39867.66814656731,3000.0,0.22260747465850092,0.22260747465850092,0.10249622837874632,77.0,86587.0,1,0,1,1,0,0,0,1,3,27
89587.0,41248.9725506892,3000.0,0.23032020779367712,0.23032020779367712,0.10604743912789155,77.0,89587.0,1,0,1,1,0,0,0,1,3,28
92587.0,42630.27695481109,3000.0,0.23803294092885335,0.23803294092885335,0.10959864987703678,77.0,92587.0,1,0,1,1,0,0,0,1,3,29
95587.0,44011.58135893298,3000.0,0.24574567406402956,0.24574567406402956,0.11314986062618203,77.0,95587.0,1,0,1,1,0,0,0,1,3,30
98587.0,45392.88576305487,3000.0,0.25345840719920576,0.25345840719920576,0.11670107137532727,77.0,98587.0,1,0,1,1,0,0,0,1,3,31
101587.0,46774.190167176755,3000.0,0.261171140334382,0.261171140334382,0.12025228212447252,77.0,101587.0,1,0,1,1,0,0,0,1,4,1
